dataset,name,samples,features,categories,classes,fs-ratio,difficulty,C-ratio
4538,Gesturephasesegmentationprocessed,9873,32,0,5,0.324,Hard,0.016
40975,Car,1728,6,6,4,0.347,Hard,0.0
40701,Churn,5000,20,4,2,0.4,Hard,0.015
1497,Wall-robot-navigation,5456,24,0,4,0.44,Hard,0.0
469,Analcatdata_dmft,797,4,4,6,0.502,Easy,0.005
1464,Blood-transfusion-service-center,748,4,0,2,0.535,Hard,0.167
23,Cmc,1473,9,7,3,0.611,Hard,0.011
11,Balance-scale,625,4,0,3,0.64,Easy,0.0
1475,First-order-theorem-proving,6118,51,0,6,0.834,Hard,0.024
50,Tic-tac-toe,958,9,9,2,0.939,Easy,0.0
1067,Kc1,2109,21,0,2,0.996,Hard,0.481
37,Diabetes,768,8,0,2,1.042,Easy,0.0
40982,Steel-plates-fault,1941,27,0,7,1.391,Hard,0.046
1480,Ilpd,583,10,1,2,1.715,Easy,0.036
1068,Pc1,1109,21,0,2,1.894,Hard,0.271
46,Splice,3190,61,60,3,1.912,Easy,0.012
31,Credit-g,1000,20,13,2,2.0,Easy,0.002
54,Vehicle,846,18,0,4,2.128,Easy,0.203
1050,Pc3,1563,37,0,2,2.367,Hard,0.176
1049,Pc4,1458,37,0,2,2.538,Hard,0.063
1487,Ozone-level-8hr,2534,72,0,2,2.841,Hard,0.149
40994,Climate-model-simulation-crashes,540,20,0,2,3.704,Easy,0.0
1494,Qsar-biodeg,1055,41,0,2,3.886,Easy,0.017
1063,Kc2,522,21,0,2,4.023,Easy,0.557
1510,Wdbc,569,30,0,2,5.272,Easy,0.101
458,Analcatdata_authorship,841,70,0,4,8.323,Easy,0.0
1485,Madelon,2600,500,0,2,19.231,Hard,0.0
4134,Bioresponse,3751,1776,0,2,47.347,Easy,0.0
