,id,corruption,fold,test_score
0,3,gbt,0,0.9953114331965377
1,3,gbt,1,0.9953121674385151
2,3,gbt,2,0.9828156519347149
3,3,gbt,3,0.9968745412282848
4,3,gbt,4,0.9984376031804653
5,3,gbt,5,0.9890632222632565
6,3,gbt,6,0.996875
7,3,gbt,7,0.9968753973843552
8,3,gbt,8,0.9953128095413957
9,3,gbt,9,0.9921869457308585
10,3,gbt,10,1.0
11,3,gbt,11,0.9984373891461719
12,3,gbt,12,0.9968753973843552
13,3,gbt,13,0.9843800413574634
14,3,gbt,14,0.9968745412282848
15,3,gbt,15,0.9890600107919216
16,3,gbt,16,0.9953128095413957
17,3,gbt,17,0.996875
18,3,gbt,18,0.9984376031804653
19,3,gbt,19,0.9953114331965377
20,3,gbt,20,0.9953114331965377
21,3,gbt,21,0.9984373891461719
22,3,gbt,22,0.990625
23,3,gbt,23,0.9953121674385151
24,3,gbt,24,0.9984376031804653
25,3,gbt,25,0.9859400788556758
26,3,gbt,26,0.99375
27,3,gbt,27,0.9953128095413957
28,3,gbt,28,0.9953121674385151
29,3,gbt,29,0.9859425522840753
0,11,gbt,0,0.8586585162545152
1,11,gbt,1,0.8820711576824428
2,11,gbt,2,0.8714588279630675
3,11,gbt,3,0.834
4,11,gbt,4,0.8623058823529411
5,11,gbt,5,0.8356669213139801
6,11,gbt,6,0.8436484983314794
7,11,gbt,7,0.8662650736315642
8,11,gbt,8,0.8507763267574325
9,11,gbt,9,0.8457649667405764
10,11,gbt,10,0.8055126050420167
11,11,gbt,11,0.8586666666666667
12,11,gbt,12,0.8466393162393162
13,11,gbt,13,0.79304668450788
14,11,gbt,14,0.8502634256642171
15,11,gbt,15,0.8698982765868011
16,11,gbt,16,0.828087554721701
17,11,gbt,17,0.8617134545454546
18,11,gbt,18,0.8358824265165729
19,11,gbt,19,0.8284444444444444
20,11,gbt,20,0.8504180790960452
21,11,gbt,21,0.8585333333333334
22,11,gbt,22,0.8510666666666667
23,11,gbt,23,0.8638522705860183
24,11,gbt,24,0.8512513368983957
25,11,gbt,25,0.8512220137585992
26,11,gbt,26,0.836214504028897
27,11,gbt,27,0.8739973609278422
28,11,gbt,28,0.8389071038251366
29,11,gbt,29,0.8509333333333334
0,23,gbt,0,0.574582220536655
1,23,gbt,1,0.5168654526275807
2,23,gbt,2,0.5066827279947403
3,23,gbt,3,0.5593811876733312
4,23,gbt,4,0.5370353304097637
5,23,gbt,5,0.5863175428969881
6,23,gbt,6,0.5362431811020522
7,23,gbt,7,0.5123261550041991
8,23,gbt,8,0.5207693652940192
9,23,gbt,9,0.5630399659649007
10,23,gbt,10,0.5393742789323083
11,23,gbt,11,0.5660507666993065
12,23,gbt,12,0.5424220250122667
13,23,gbt,13,0.5331109156452862
14,23,gbt,14,0.5829070075871501
15,23,gbt,15,0.491897629091294
16,23,gbt,16,0.6038030637350622
17,23,gbt,17,0.5267124305412719
18,23,gbt,18,0.5919724190702126
19,23,gbt,19,0.5355611250660175
20,23,gbt,20,0.5682337300170262
21,23,gbt,21,0.5245267444419986
22,23,gbt,22,0.5485935683843471
23,23,gbt,23,0.5150818929046462
24,23,gbt,24,0.5345926136121657
25,23,gbt,25,0.5818855287289977
26,23,gbt,26,0.5218182153366567
27,23,gbt,27,0.4915749931639533
28,23,gbt,28,0.5356934049001846
29,23,gbt,29,0.5088593696384204
0,31,gbt,0,0.7136402300023816
1,31,gbt,1,0.7778128701144886
2,31,gbt,2,0.6894977168949772
3,31,gbt,3,0.7375616631430586
4,31,gbt,4,0.7503289473684212
5,31,gbt,5,0.6956902802736531
6,31,gbt,6,0.7375259875259875
7,31,gbt,7,0.7437288135593221
8,31,gbt,8,0.682213878459185
9,31,gbt,9,0.7332687651331719
10,31,gbt,10,0.7559376096456254
11,31,gbt,11,0.747268198871339
12,31,gbt,12,0.7202865252061089
13,31,gbt,13,0.7312542904775914
14,31,gbt,14,0.7150883048254763
15,31,gbt,15,0.7095283146371132
16,31,gbt,16,0.752232846485237
17,31,gbt,17,0.7375259875259875
18,31,gbt,18,0.7370045890696705
19,31,gbt,19,0.7394429469901168
20,31,gbt,20,0.7676703752849511
21,31,gbt,21,0.6389818181818182
22,31,gbt,22,0.7678993663104134
23,31,gbt,23,0.7575837825908761
24,31,gbt,24,0.7418029463441005
25,31,gbt,25,0.6688970429527303
26,31,gbt,26,0.6956902802736531
27,31,gbt,27,0.6976339661460769
28,31,gbt,28,0.7316129032258064
29,31,gbt,29,0.674342105263158
0,37,gbt,0,0.7672901261418008
1,37,gbt,1,0.7330181339397928
2,37,gbt,2,0.7448082577799559
3,37,gbt,3,0.7568387094790126
4,37,gbt,4,0.6993530030179245
5,37,gbt,5,0.7158842350729407
6,37,gbt,6,0.7800071488144884
7,37,gbt,7,0.7448082577799559
8,37,gbt,8,0.7142857142857143
9,37,gbt,9,0.7611576241017866
10,37,gbt,10,0.7748416774965448
11,37,gbt,11,0.6836952319185822
12,37,gbt,12,0.7640300875594993
13,37,gbt,13,0.7627626513977172
14,37,gbt,14,0.7657648454052421
15,37,gbt,15,0.706511175898931
16,37,gbt,16,0.7554767899150163
17,37,gbt,17,0.7722306056801803
18,37,gbt,18,0.7422593190996117
19,37,gbt,19,0.7364029459974635
20,37,gbt,20,0.7865535824719498
21,37,gbt,21,0.6974015696780138
22,37,gbt,22,0.8083466731766344
23,37,gbt,23,0.7406947119865779
24,37,gbt,24,0.7759425040978439
25,37,gbt,25,0.7232230932973366
26,37,gbt,26,0.7495827986975903
27,37,gbt,27,0.7450067174205105
28,37,gbt,28,0.7568387094790126
29,37,gbt,29,0.8164678458796105
0,44,gbt,0,0.9467311341131857
1,44,gbt,1,0.944469688565021
2,44,gbt,2,0.9433342974362097
3,44,gbt,3,0.9522025868753328
4,44,gbt,4,0.9389411224775478
5,44,gbt,5,0.9489053735371372
6,44,gbt,6,0.9564109980278537
7,44,gbt,7,0.946527379280137
8,44,gbt,8,0.9609120521172638
9,44,gbt,9,0.9389411224775478
10,44,gbt,10,0.9487970925051902
11,44,gbt,11,0.945483145069239
12,44,gbt,12,0.9468830902965181
13,44,gbt,13,0.9542315479292462
14,44,gbt,14,0.9508924911756359
15,44,gbt,15,0.9511041918783574
16,44,gbt,16,0.9532298561678408
17,44,gbt,17,0.9532298561678408
18,44,gbt,18,0.9325813703232748
19,44,gbt,19,0.9422284333941192
20,44,gbt,20,0.9456301373574798
21,44,gbt,21,0.953277338905986
22,44,gbt,22,0.9533003179297092
23,44,gbt,23,0.9487099352278866
24,44,gbt,24,0.9489053735371372
