dataset,LR,GBT,DNN,DNN-AE,TabNet,FTT,NPT,Pass,Noise,Sample,CutMix,RFC,WCR,SAINT
4538,0.447,0.659,0.631,0.607,0.57,0.695,0.715,0.626,0.634,0.613,0.649,0.655,0.592,
1462,0.985,0.988,,,,,,,,,,,,
40975,0.921,0.981,0.988,0.991,0.751,1.0,0.995,0.987,0.989,0.99,0.99,0.989,0.989,0.999
40701,0.859,0.947,0.927,0.925,0.916,0.953,0.911,0.921,0.901,0.923,0.931,0.926,0.921,0.951
1497,0.7,0.997,0.925,0.92,0.96,0.968,0.957,0.918,0.914,0.93,0.944,0.948,0.914,0.972
469,0.199,0.194,0.183,0.19,0.178,0.186,0.191,0.185,0.184,0.181,0.189,0.185,0.187,0.2
1464,0.676,0.733,0.71,0.76,0.742,0.698,0.773,0.737,0.718,0.736,0.743,0.731,0.745,0.808
11,0.865,0.849,,,,,,,,,,,,
23,0.507,0.542,0.484,0.498,0.495,0.482,0.493,0.487,0.484,0.485,0.494,0.482,0.49,0.499
1475,0.455,0.593,0.56,0.557,0.523,0.561,0.579,0.556,0.559,0.563,0.563,0.566,0.544,0.59
50,0.981,0.984,,,,,,,,,,,,
37,0.743,0.749,,,,,,,,,,,,
1067,0.761,0.831,0.836,0.837,0.826,0.829,0.854,0.838,0.832,0.837,0.839,0.836,0.839,0.849
40982,0.683,0.783,0.744,0.749,0.733,0.765,0.755,0.747,0.747,0.749,0.736,0.743,0.74,0.764
1480,0.65,0.661,,,,,,,,,,,,
1068,0.84,0.923,0.92,0.921,0.909,0.918,0.925,0.919,0.915,0.914,0.921,0.919,0.919,0.932
31,0.716,0.725,,,,,,,,,,,,
54,0.784,0.736,,,,,,,,,,,,
1050,0.813,0.87,0.872,0.873,0.865,0.869,0.887,0.875,0.876,0.872,0.872,0.876,0.874,0.893
1049,0.857,0.895,0.906,0.91,0.892,0.903,0.912,0.91,0.892,0.903,0.908,0.91,0.909,0.916
1487,0.882,0.927,0.934,0.935,0.927,0.931,,0.932,0.934,0.935,0.935,0.936,0.933,0.949
40994,0.902,0.917,,,,,,,,,,,,
1494,0.842,0.854,0.868,0.872,0.854,0.852,0.858,0.87,0.861,0.871,0.872,0.87,0.87,0.859
1063,0.797,0.808,0.807,0.815,0.779,0.801,0.826,0.803,0.791,0.8,0.806,0.802,0.814,0.822
1510,0.965,0.945,0.971,0.968,0.938,0.965,0.963,0.97,0.966,0.965,0.969,0.965,0.971,0.965
458,0.995,0.978,0.996,0.996,0.985,0.995,,0.995,0.996,0.996,0.997,0.997,0.995,0.993
1485,0.612,0.811,0.567,0.605,0.572,0.619,,0.558,0.442,0.602,0.812,0.607,0.577,
4134,0.767,0.791,0.765,0.769,,,,0.766,0.75,0.756,0.739,0.755,0.764,
