id,name,samples,features,categories,classes,features_after_ohe
3,kr-vs-kp,3196,36,36,2,73
11,balance-scale,625,4,0,3,4
23,cmc,1473,9,7,3,24
31,credit-g,1000,20,13,2,61
37,diabetes,768,8,0,2,8
44,spambase,4601,57,0,2,57
46,splice,3190,61,60,3,287
50,tic-tac-toe,958,9,9,2,27
54,vehicle,846,18,0,4,18
151,electricity,45312,8,1,2,14
458,analcatdata_authorship,841,70,0,4,70
469,analcatdata_dmft,797,4,4,6,21
1049,pc4,1458,37,0,2,37
1050,pc3,1563,37,0,2,37
1063,kc2,522,21,0,2,21
1067,kc1,2109,21,0,2,21
1068,pc1,1109,21,0,2,21
4134,Bioresponse,3751,1776,0,2,1776
1510,wdbc,569,30,0,2,30
1494,qsar-biodeg,1055,41,0,2,41
1497,wall-robot-navigation,5456,24,0,4,24
1480,ilpd,583,10,1,2,11
1485,madelon,2600,500,0,2,500
1486,nomao,34465,118,29,2,174
1487,ozone-level-8hr,2534,72,0,2,72
1468,cnae-9,1080,856,0,9,856
1475,first-order-theorem-proving,6118,51,0,6,51
1462,banknote-authentication,1372,4,0,2,4
1464,blood-transfusion-service-center,748,4,0,2,4
4534,PhishingWebsites,11055,30,30,2,68
1461,bank-marketing,45211,16,9,2,51
4538,GesturePhaseSegmentationProcessed,9873,32,0,5,32
1478,har,10299,561,0,6,561
40499,texture,5500,40,0,11,40
40668,connect-4,67557,42,42,3,126
40982,steel-plates-fault,1941,27,0,7,27
40994,climate-model-simulation-crashes,540,20,0,2,18
40983,wilt,4839,5,0,2,5
40975,car,1728,6,6,4,21
41027,jungle_chess_2pcs_raw_endgame_complete,44819,6,0,3,6
23517,numerai28.6,96320,21,0,2,21
40978,Internet-Advertisements,3279,1558,1555,2,3113
40670,dna,3186,180,180,3,360
40701,churn,5000,20,4,2,33
41166,volkert,58310,180,0,10,180
