dataset id,control,SCARF,SCARF AE,add. noise AE,no noise AE,SCARF disc.,XGBoost
6,94.69,95.75,94.6,94.56,94.36,95.1,88.01
6332,74.24,75.4,71.76,69.35,66.6,69.34,77.59
54,75.45,76.75,75.14,75.83,75.88,78.44,76.16
50,90.54,97.53,98.68,97.33,95.91,96.66,90.61
46,93.47,94.59,94.63,94.96,94.33,93.36,95.72
469,18.54,1908,19.89,19.14,19.79,19.17,21.21
458,98.96,99.51,99.34,99.2,99.11,99.19,98.46
4538,56.28,60.32,56.78,56.89,56.84,57.06,56.31
4534,96.08,95.85,95.91,95.8,95.9,96.46,94.66
44,93.4,94.46,93.53,93.45,93.49,93.55,94.54
4134,75.53,75.51,76.25,75.52,75.77,75.47,78.31
41027,90.96,91.13,91.73,92.15,92.32,91.68,81.75
40994,90.97,90.91,91.02,91.5,90.99,90.86,94.29
40984,90.56,91.97,90.32,90.46,90.53,90.69,92.66
40983,98.59,98.7,98.64,98.66,98.66,98.77,98.6
40982,73.48,73.27,73.47,73.7,73.56,72.99,78.07
40979,96.68,97.45,96.36,96.39,96.6,96.59,95.91
40978,94.84,95.13,95.36,95.81,94.75,94.74,97.33
40975,95.27,97.26,96.86,97.02,96.76,96.7,95.87
40966,98.44,98.77,98.21,98.46,98.68,97.87,97.05
40923,2.17,2.19,2.19,2.19,2.19,2.19,77.49
40701,91.73,92.36,92.36,92.27,92.14,92.29,95.31
40670,92.37,92.88,92.88,93.27,92.25,92.53,96.27
40668,83.38,82.97,83.29,83.17,83.26,83.17,74.11
40499,99.05,98.9,98.65,98.64,98.95,98.63,97.58
3,97.55,98.53,97.72,97.65,97.94,98.06,97.6
38,97.14,97.75,97.09,97.19,97.18,97.45,98.42
37,75.21,75.36,75.15,75.58,75.57,74.58,76.47
32,98.95,99.25,98.81,98.82,98.89,98.9,98.39
31,73.55,73.86,73.3,72.68,72.92,71.92,76.38
307,94.89,9645,94.29,95.17,94.17,9444,86.48
300,9446,94.37,94.3,94.44,94.18,94.47,94.73
29,85.82,86.35,85.62,85.57,85.14,83.7,86.16
28,97.56,97.88,97.63,97.76,97.44,97.55,97.29
23,54.64,54.25,53.22,53.27,53.03,53.41,55.77
23517,51.59,51.55,51.53,51.51,51.69,51.57,52
23381,60.59,59.07,56.78,56.68,53.22,54.62,59.7
22,82.05,80.86,81.18,81.29,81.48,82.05,77.43
18,72.59,74.06,73.51,72.94,73.69,73.06,72.12
188,64.24,65.02,67.34,66.09,64.95,64.7,64.89
182,89.21,9043,89.15,89.17,88.98,89.42,89.63
16,95.68,96.55,95.51,95.53,9547,95.14,94.85
15,96.45,97.15,97.06,96.39,96.04,96.07,95.83
1590,85.55,85.6,85.51,85.51,85.54,85.5,86.45
151,82.77,83.55,82.69,82.67,82.34,83.18,83.27
1510,96.94,96.49,96.27,96.54,96.21,96.58,96.26
1501,91.41,93.76,91.55,91.6,9249,92.35,91.33
14,79.27,80.99,81.05,80.67,80.89,78.82,82.34
1497,88.73,93.65,89.19,88.51,88.94,89.21,99.69
1494,86.76,86.71,86.96,86.59,87.29,86.44,86.32
1489,85.25,87.55,85.84,85.86,85.03,87.15,85.63
1487,93.47,94.25,94.27,94.31,94.27,93.96,94.34
1486,95.74,95.66,95.74,95.79,95.76,95.74,95.63
1485,54.2,70.16,68.76,68.24,64.12,56.73,71.6
1480,70.16,69.74,69.49,69.19,69.23,69.64,68.01
1478,96.85,97.16,97.08,97.12,97.07,94.98,98.38
1475,54.23,54.54,54.02,53.85,53.7,53.97,55.72
1468,93.45,94.04,92.95,91.68,92.72,85.79,91.27
1464,79.29,78.53,79.31,78.6,79.13,78.04,77.58
1462,99.5,99.94,99.75,99.72,99.77,99.92,99.49
1461,90.42,9046,9043,90.43,9041,90.45,90.36
12,96.82,9646,95.96,95.99,95.97,96.42,96.17
11,95.98,97.27,96.87,97.15,97.05,97.16,87.95
1068,93.04,93.18,93.23,93.06,93.12,93.18,93.78
1067,85.6,85.69,85.66,85.57,85.45,85.46,85.36
1063,84.17,8406,8406,83.71,82.16,83.7,83.27
1053,81.47,81.19,81.28,81.21,81.27,81.19,81.44
1050,89.84,89.49,89.24,89.27,89.4,89.7,88.9
1049,90.65,89.97,90.2,90.38,90.74,90.17,91.2
