,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,23,scarf,8,0,0.5555702423772624,0.5638531578637163,0.507693695829289,0.5414992965766732,0.4913394944670394,0.008776354411291697
1,23,scarf,8,1,0.5548401744369016,0.5306715863718278,0.5445844231294734,0.5013938594916321,0.4689091369161113,0.008740875456068251
2,23,scarf,8,2,0.5073618738690509,0.4966359935656217,0.39814771443246016,0.47247988089139054,0.43515204840082855,0.008530616760253906
3,23,scarf,8,3,0.5169036003761702,0.5357346202647371,0.4927320567203152,0.4892398555734865,0.5486271439036097,0.008935090095277817
4,23,scarf,8,4,0.5111754275833966,0.5134153864605737,0.4554549980161544,0.4702179873033667,0.45643332779818063,0.008605904049343534
5,23,scarf,8,5,0.5408719459192896,0.5339101867024895,0.48978448394653434,0.5140580734682868,0.4506780162322851,0.009070534764984508
6,23,scarf,8,6,0.5769088103173878,0.5897653194263364,0.4926784239179116,0.4972673688541612,0.4646161808489406,0.00919202963511149
7,23,scarf,8,7,0.5887729395198195,0.5525323973263556,0.4805222911054894,0.48884331455396884,0.43945270650383234,0.008670689147195699
8,23,scarf,8,8,0.4771562564905428,0.4947973158243211,0.4375151900306773,0.48062214924043173,0.42759667687991637,0.00885798312999584
9,23,scarf,8,9,0.4712027283355298,0.5849532079416484,0.4222691888347553,0.4422564265108973,0.4162360430746285,0.008990317215154201
10,23,scarf,8,10,0.526654245075609,0.5493202855171987,0.4695482719303588,0.44435187703888895,0.4172040642242012,0.00894984934065077
11,23,scarf,8,11,0.5104091765108715,0.45167089115499237,0.4577251687516573,0.45311351534163075,0.4768785573518876,0.008731889724731445
12,23,scarf,8,12,0.5922942724149575,0.5834951165963874,0.5219593778635451,0.49991114351893,0.47992746618973203,0.00893050358619219
13,23,scarf,8,13,0.5231875505711722,0.5093853903777807,0.4660333515582286,0.4830936008108513,0.4863424220093343,0.00855633506068477
