,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,23,scarf,128,0,0.577625241707549,0,0,0,0,0.006853948404759537
1,23,scarf,128,1,0.5103092790540711,0,0,0,0,0.006991962591807048
2,23,scarf,128,2,0.4360644828335506,0,0,0,0,0.007423943943447537
3,23,scarf,128,3,0.5558372985586671,0,0,0,0,0.006964743137359619
4,23,scarf,128,4,0.532318269837471,0,0,0,0,0.007090469201405843
5,23,scarf,128,5,0.5114340832072515,0,0,0,0,0.0078003671434190534
6,23,scarf,128,6,0.5784975769353767,0,0,0,0,0.007989635070164999
7,23,scarf,128,7,0.5817470425505858,0,0,0,0,0.006725483470492893
8,23,scarf,128,8,0.5229777141129065,0,0,0,0,0.006451076931423611
9,23,scarf,128,9,0.5630260573216075,0,0,0,0,0.006146519272415726
10,23,scarf,128,10,0.5092230894104207,0,0,0,0,0.006368080774943034
11,23,scarf,128,11,0.5631885805041557,0,0,0,0,0.006858969491625589
12,23,scarf,128,12,0.5696759047182776,0,0,0,0,0.006043381161159939
13,23,scarf,128,13,0.5272550501860286,0,0,0,0,0.006922154199509393
14,23,scarf,128,14,0.5502896412556422,0,0,0,0,0.007213296713652434
15,23,scarf,128,15,0.4673310480284712,0,0,0,0,0.006673761776515416
16,23,scarf,128,16,0.5547993563583159,0,0,0,0,0.007698771688673231
17,23,scarf,128,17,0.5659306484217074,0,0,0,0,0.008093044492933485
18,23,scarf,128,18,0.5888184602526819,0,0,0,0,0.007985746418988263
19,23,scarf,128,19,0.5054971755726753,0,0,0,0,0.008258422215779623
20,23,scarf,128,20,0.5325168765832311,0,0,0,0,0.007835165218070702
21,23,scarf,128,21,0.5227529914822729,0,0,0,0,0.007308178477817112
22,23,scarf,128,22,0.5999934432293401,0,0,0,0,0.00740867190890842
23,23,scarf,128,23,0.5316705374475864,0,0,0,0,0.00650879630336055
24,23,scarf,128,24,0.5363921385104359,0,0,0,0,0.007032275199890137
25,23,scarf,128,25,0.5617209641419514,0,0,0,0,0.005978869067298042
26,23,scarf,128,26,0.49630914032256923,0,0,0,0,0.006630389778702347
27,23,scarf,128,27,0.5091618002369483,0,0,0,0,0.00695696503224999
28,23,scarf,128,28,0.5230271211450719,0,0,0,0,0.006922423839569092
29,23,scarf,128,29,0.5173224043836785,0,0,0,0,0.006287589905753968
30,1049,scarf,128,0,0.8789433446967694,0,0,0,0,0.005965484040124076
31,1049,scarf,128,1,0.9075644107845743,0,0,0,0,0.005806105004416572
32,1049,scarf,128,2,0.875448502301047,0,0,0,0,0.005989301204681397
33,1049,scarf,128,3,0.9175833137327952,0,0,0,0,0.005891386005613539
34,1049,scarf,128,4,0.912771702990106,0,0,0,0,0.005816830056054252
35,1049,scarf,128,5,0.9029262832471617,0,0,0,0,0.005582533776760101
36,1049,scarf,128,6,0.916286983859881,0,0,0,0,0.005906826257705689
37,1049,scarf,128,7,0.9149592579218084,0,0,0,0,0.006512021025021871
38,1049,scarf,128,8,0.9145482433153665,0,0,0,0,0.0053592085838317875
39,1049,scarf,128,9,0.9001695636473404,0,0,0,0,0.006370114428656442
40,1049,scarf,128,10,0.9060787671232876,0,0,0,0,0.005095392465591431
41,1049,scarf,128,11,0.910080435897085,0,0,0,0,0.005618252924510411
42,1049,scarf,128,12,0.9138640758003654,0,0,0,0,0.00540759414434433
43,1049,scarf,128,13,0.8767055142547429,0,0,0,0,0.005311794579029083
44,1049,scarf,128,14,0.9025276197247093,0,0,0,0,0.005917053137506757
45,1049,scarf,128,15,0.9306616308908298,0,0,0,0,0.006226211786270142
46,1049,scarf,128,16,0.9017281984442083,0,0,0,0,0.005560357462276112
47,1049,scarf,128,17,0.8988540569020023,0,0,0,0,0.005661411718888717
48,1049,scarf,128,18,0.8844046364594308,0,0,0,0,0.005879042049249013
49,1049,scarf,128,19,0.8826228364680526,0,0,0,0,0.005331738637043879
50,1049,scarf,128,20,0.8916293466807166,0,0,0,0,0.006817525625228882
51,1049,scarf,128,21,0.9069732018643947,0,0,0,0,0.00616464444569179
52,1049,scarf,128,22,0.8988540569020023,0,0,0,0,0.007361275809151786
53,1049,scarf,128,23,0.8762440941736825,0,0,0,0,0.005436904728412628
54,1049,scarf,128,24,0.8834539564606897,0,0,0,0,0.0070017533642905095
55,1049,scarf,128,25,0.9223541050590425,0,0,0,0,0.005513803525404496
56,1049,scarf,128,26,0.9103508205574878,0,0,0,0,0.006204716861248016
