dataset,name,samples,features,categories,classes,fs-ratio,difficulty,C-ratio
4538,Gesturephasesegmentationprocessed,9873,32,0,5,0.32,Hard,0.09
40975,Car,1728,6,6,4,0.35,Hard,0.05
40701,Churn,5000,20,4,2,0.4,Hard,0.03
1497,Wall-robot-navigation,5456,24,0,4,0.44,Hard,0.17
469,Analcatdata_dmft,797,4,4,6,0.5,Easy,0.09
1464,Blood-transfusion-service-center,748,4,0,2,0.53,Hard,0.47
23,Cmc,1473,9,7,3,0.61,Hard,0.13
11,Balance-scale,625,4,0,3,0.64,Easy,0.0
1475,First-order-theorem-proving,6118,51,0,6,0.83,Hard,0.24
50,Tic-tac-toe,958,9,9,2,0.94,Easy,0.09
1067,Kc1,2109,21,0,2,1.0,Hard,0.72
37,Diabetes,768,8,0,2,1.04,Easy,0.17
40982,Steel-plates-fault,1941,27,0,7,1.39,Hard,0.25
1480,Ilpd,583,10,1,2,1.72,Easy,0.18
1068,Pc1,1109,21,0,2,1.89,Hard,0.63
46,Splice,3190,61,60,3,1.91,Easy,0.04
31,Credit-g,1000,20,13,2,2.0,Easy,0.06
54,Vehicle,846,18,0,4,2.13,Easy,0.41
1050,Pc3,1563,37,0,2,2.37,Hard,0.41
1049,Pc4,1458,37,0,2,2.54,Hard,0.35
1487,Ozone-level-8hr,2534,72,0,2,2.84,Hard,0.35
40994,Climate-model-simulation-crashes,540,20,0,2,3.7,Easy,0.01
1494,Qsar-biodeg,1055,41,0,2,3.89,Easy,0.17
1063,Kc2,522,21,0,2,4.02,Easy,0.78
1510,Wdbc,569,30,0,2,5.27,Easy,0.39
458,Analcatdata_authorship,841,70,0,4,8.32,Easy,0.15
1485,Madelon,2600,500,0,2,19.23,Hard,0.02
4134,Bioresponse,3751,1776,0,2,47.35,Easy,0.09
