dataset,corruption,fold,test_score
23,scarf-nopretrain,0,0.576444274603246
23,scarf-nopretrain,1,0.540500834689862
23,scarf-nopretrain,2,0.4889874720383195
23,scarf-nopretrain,3,0.5605963477939782
23,scarf-nopretrain,4,0.5080751521717439
23,scarf-nopretrain,5,0.5502565887729779
23,scarf-nopretrain,6,0.566436566907479
23,scarf-nopretrain,7,0.5859686627187043
23,scarf-nopretrain,8,0.5547784863232086
23,scarf-nopretrain,9,0.5170388161809806
23,scarf-nopretrain,10,0.4947179091273872
23,scarf-nopretrain,11,0.5656014739571462
23,scarf-nopretrain,12,0.48788475273050325
23,scarf-nopretrain,13,0.5255818623359836
23,scarf-nopretrain,14,0.5447697465477942
23,scarf-nopretrain,15,0.5108077226767159
23,scarf-nopretrain,16,0.5374309825287175
23,scarf-nopretrain,17,0.5236883667180277
23,scarf-nopretrain,18,0.6084131095656519
23,scarf-nopretrain,19,0.5481888440013261
23,scarf-nopretrain,20,0.5583940287827288
23,scarf-nopretrain,21,0.538357338227739
23,scarf-nopretrain,22,0.5528850507692874
23,scarf-nopretrain,23,0.47080106488656076
23,scarf-nopretrain,24,0.5036193299958518
23,scarf-nopretrain,25,0.5660123297849875
23,scarf-nopretrain,26,0.47503552523593195
23,scarf-nopretrain,27,0.4980664585191793
23,scarf-nopretrain,28,0.5062863597800721
23,scarf-nopretrain,29,0.5151751286460203
1049,scarf-nopretrain,0,0.8813774969252302
1049,scarf-nopretrain,1,0.9046310546302927
1049,scarf-nopretrain,2,0.8661334882637206
1049,scarf-nopretrain,3,0.9109899788314186
1049,scarf-nopretrain,4,0.8984471982054575
1049,scarf-nopretrain,5,0.9267282305116894
1049,scarf-nopretrain,6,0.9074272635916473
1049,scarf-nopretrain,7,0.9029262832471617
1049,scarf-nopretrain,8,0.9098601201580787
1049,scarf-nopretrain,9,0.8725188321845408
1049,scarf-nopretrain,10,0.8916770114191547
1049,scarf-nopretrain,11,0.9013975225002739
1049,scarf-nopretrain,12,0.8966836263542327
1049,scarf-nopretrain,13,0.8972602739726028
1049,scarf-nopretrain,14,0.9103254101467324
1049,scarf-nopretrain,15,0.9246946892682897
1049,scarf-nopretrain,16,0.890387626268119
1049,scarf-nopretrain,17,0.897294981909546
1049,scarf-nopretrain,18,0.8890305616397314
1049,scarf-nopretrain,19,0.8988151754685232
1049,scarf-nopretrain,20,0.899587855067307
1049,scarf-nopretrain,21,0.9041095890410958
1049,scarf-nopretrain,22,0.8974593923153371
1049,scarf-nopretrain,23,0.8909730560438711
1049,scarf-nopretrain,24,0.8826228364680526
1049,scarf-nopretrain,25,0.9227598885133133
1049,scarf-nopretrain,26,0.9016609510959528
1049,scarf-nopretrain,27,0.8995594638629797
1049,scarf-nopretrain,28,0.8995594638629797
1049,scarf-nopretrain,29,0.8853798693728723
1067,scarf-nopretrain,0,0.8313890237118047
1067,scarf-nopretrain,1,0.8180411156050719
1067,scarf-nopretrain,2,0.8273255090020948
