,dataset,corruption,fold,val_score,test_score,Unnamed: 0
0,11,ftt,0,1.0,0.9674709851551956,
1,11,ftt,1,1.0,0.9846570918884886,
2,11,ftt,2,0.950125313283208,0.968,
3,11,ftt,3,1.0,0.9679963694122986,
4,11,ftt,4,1.0,0.9599963694122986,
5,11,ftt,5,1.0,0.9918242562929062,
6,11,ftt,6,1.0,0.9839927360774818,
7,11,ftt,7,1.0,0.9599951603145797,
8,11,ftt,8,1.0,0.992,
9,11,ftt,9,1.0,0.9839975801572898,
10,11,ftt,10,1.0,0.9684670807453416,
11,11,ftt,11,1.0,0.9919987898040996,
12,11,ftt,12,0.9523809523809524,0.9919987898040996,
13,11,ftt,13,1.0,0.96931479939837,
14,11,ftt,14,1.0,0.984081807081807,
15,11,ftt,15,1.0,0.9838236617183986,
16,11,ftt,16,1.0,0.9759927360774818,
17,11,ftt,17,0.9841222642293116,0.968007326007326,
18,11,ftt,18,1.0,0.926700228832952,
19,11,ftt,19,1.0,1.0,
20,11,ftt,20,1.0,0.9838926221099976,
21,11,ftt,21,1.0,0.9832490421455938,
22,11,ftt,22,1.0,0.992,
23,11,ftt,23,1.0,0.9921550779603876,
24,11,ftt,24,1.0,0.975378233889426,
25,11,ftt,25,1.0,0.9703834586466166,
26,11,ftt,26,1.0,0.9279915286286966,
27,11,ftt,27,1.0,0.9846570918884886,
28,11,ftt,28,1.0,0.9831800817539949,
29,11,ftt,29,1.0,0.9841550779603876,
30,37,ftt,0,0.7283211069094945,0.7364029459974635,
31,37,ftt,1,0.7313771134525852,0.6608237643171325,
32,37,ftt,2,0.893946053946054,0.5955975651473503,
33,37,ftt,3,0.7801128164764528,0.6637019546110454,
34,37,ftt,4,0.8409190809190809,0.6507674144037779,
35,37,ftt,5,0.7662337662337663,0.7370409270837295,
36,37,ftt,6,0.7164723032069972,0.7272727272727273,
37,37,ftt,7,0.8206635318704283,0.7174071488539876,
38,37,ftt,8,0.8304118821585662,0.669004008506917,
39,37,ftt,9,0.8083228101069314,0.7566147932527243,
40,37,ftt,10,0.7260499634869146,0.6984828896593602,
41,37,ftt,11,0.7922077922077921,0.7035846806254968,
42,37,ftt,12,0.7348651348651349,0.7142857142857143,
43,37,ftt,13,0.809105548235983,0.7472786307325978,
44,37,ftt,14,0.7071958536791959,0.7532467532467533,
45,37,ftt,15,0.8409190809190809,0.710195463049429,
46,37,ftt,16,0.8409190809190809,0.6811228479522524,
47,37,ftt,17,0.7313771134525852,0.7472786307325978,
48,37,ftt,18,0.7495827986975903,0.6553246753246754,
49,37,ftt,19,0.7198515769944341,0.6761719650225891,
50,37,ftt,20,0.7759425040978439,0.7045401695428826,
51,37,ftt,21,0.7313771134525852,0.6497370233917801,
52,37,ftt,22,0.7851016907620681,0.7224264280101844,
53,37,ftt,23,0.7438050455291836,0.7095160293129836,
54,37,ftt,24,0.7640300875594993,0.6798303737079248,
55,37,ftt,25,0.7759425040978439,0.6857318396854328,
56,37,ftt,26,0.7422475483699973,0.72016902983565,
57,37,ftt,27,0.7640300875594993,0.6363636363636364,
58,37,ftt,28,0.7158842350729407,0.6720707835673391,
59,37,ftt,29,0.7640300875594993,0.736243107924524,
0,11,ftt,0,1.0,0.9674709851551956,0.0
1,11,ftt,1,1.0,0.9846570918884886,1.0
2,11,ftt,2,0.950125313283208,0.968,2.0
3,11,ftt,3,1.0,0.9679963694122986,3.0
4,11,ftt,4,1.0,0.9599963694122986,4.0
5,11,ftt,5,1.0,0.9918242562929062,5.0
6,11,ftt,6,1.0,0.9839927360774818,6.0
7,11,ftt,7,1.0,0.9599951603145797,7.0
8,11,ftt,8,1.0,0.992,8.0
9,11,ftt,9,1.0,0.9839975801572898,9.0
10,11,ftt,10,1.0,0.9684670807453416,10.0
11,11,ftt,11,1.0,0.9919987898040996,11.0
12,11,ftt,12,0.9523809523809524,0.9919987898040996,12.0
13,11,ftt,13,1.0,0.96931479939837,13.0
14,11,ftt,14,1.0,0.984081807081807,14.0
15,11,ftt,15,1.0,0.9838236617183986,15.0
16,11,ftt,16,1.0,0.9759927360774818,16.0
17,11,ftt,17,0.9841222642293116,0.968007326007326,17.0
18,11,ftt,18,1.0,0.926700228832952,18.0
19,11,ftt,19,1.0,1.0,19.0
20,11,ftt,20,1.0,0.9838926221099976,20.0
21,11,ftt,21,1.0,0.9832490421455938,21.0
22,11,ftt,22,1.0,0.992,22.0
23,11,ftt,23,1.0,0.9921550779603876,23.0
24,11,ftt,24,1.0,0.975378233889426,24.0
25,11,ftt,25,1.0,0.9703834586466166,25.0
26,11,ftt,26,1.0,0.9279915286286966,26.0
27,11,ftt,27,1.0,0.9846570918884886,27.0
28,11,ftt,28,1.0,0.9831800817539949,28.0
29,11,ftt,29,1.0,0.9841550779603876,29.0
30,37,ftt,0,0.7283211069094945,0.7364029459974635,30.0
31,37,ftt,1,0.7313771134525852,0.6608237643171325,31.0
32,37,ftt,2,0.893946053946054,0.5955975651473503,32.0
33,37,ftt,3,0.7801128164764528,0.6637019546110454,33.0
34,37,ftt,4,0.8409190809190809,0.6507674144037779,34.0
35,37,ftt,5,0.7662337662337663,0.7370409270837295,35.0
36,37,ftt,6,0.7164723032069972,0.7272727272727273,36.0
37,37,ftt,7,0.8206635318704283,0.7174071488539876,37.0
38,37,ftt,8,0.8304118821585662,0.669004008506917,38.0
39,37,ftt,9,0.8083228101069314,0.7566147932527243,39.0
40,37,ftt,10,0.7260499634869146,0.6984828896593602,40.0
41,37,ftt,11,0.7922077922077921,0.7035846806254968,41.0
42,37,ftt,12,0.7348651348651349,0.7142857142857143,42.0
43,37,ftt,13,0.809105548235983,0.7472786307325978,43.0
44,37,ftt,14,0.7071958536791959,0.7532467532467533,44.0
45,37,ftt,15,0.8409190809190809,0.710195463049429,45.0
46,37,ftt,16,0.8409190809190809,0.6811228479522524,46.0
47,37,ftt,17,0.7313771134525852,0.7472786307325978,47.0
48,37,ftt,18,0.7495827986975903,0.6553246753246754,48.0
49,37,ftt,19,0.7198515769944341,0.6761719650225891,49.0
50,37,ftt,20,0.7759425040978439,0.7045401695428826,50.0
51,37,ftt,21,0.7313771134525852,0.6497370233917801,51.0
52,37,ftt,22,0.7851016907620681,0.7224264280101844,52.0
53,37,ftt,23,0.7438050455291836,0.7095160293129836,53.0
54,37,ftt,24,0.7640300875594993,0.6798303737079248,54.0
55,37,ftt,25,0.7759425040978439,0.6857318396854328,55.0
56,37,ftt,26,0.7422475483699973,0.72016902983565,56.0
57,37,ftt,27,0.7640300875594993,0.6363636363636364,57.0
58,37,ftt,28,0.7158842350729407,0.6720707835673391,58.0
59,37,ftt,29,0.7640300875594993,0.736243107924524,59.0
