dataset,corruption,fold,val_score,test_score
23,ftt,0,0.4895840117518449,0.49919670195327737
23,ftt,1,0.5221073608170382,0.45557384987893457
23,ftt,2,0.6266457880800431,0.4369716382630135
23,ftt,3,0.5228523350058292,0.49246057371451774
23,ftt,4,0.5441441168876859,0.46645969804068044
23,ftt,5,0.6075307377049181,0.47631780513149574
23,ftt,6,0.5490264675955391,0.4713482515974937
23,ftt,7,0.5294826672129547,0.51836182540325
23,ftt,8,0.5403551107498477,0.47300455577283
23,ftt,9,0.592573431109787,0.4661525441230552
23,ftt,10,0.553829803829804,0.4863212566353552
23,ftt,11,0.5387933298425102,0.4598325577798958
23,ftt,12,0.6173886861960257,0.48033675103780754
23,ftt,13,0.6105705067584432,0.4656864145631726
23,ftt,14,0.6069487396921025,0.5442764514810033
23,ftt,15,0.5079870610951983,0.4986206481986866
23,ftt,16,0.5125583740630599,0.5019927032090542
23,ftt,17,0.5294520936030369,0.5038815946526617
23,ftt,18,0.574723018981565,0.4799593827476763
23,ftt,19,0.5913145115501461,0.48251726591096306
23,ftt,20,0.5698596699771787,0.4696984777686804
23,ftt,21,0.49480735251800434,0.4601452754828018
23,ftt,22,0.4863843823639682,0.5068057897614456
23,ftt,23,0.6293562244942992,0.4438520123849516
23,ftt,24,0.5185879309966901,0.48877909145193144
23,ftt,25,0.5579545711124659,0.5298217060811933
23,ftt,26,0.5877740702952569,0.463202991623732
23,ftt,27,0.5861996884504684,0.45181225554106913
23,ftt,28,0.5709104280532852,0.5091080669329344
23,ftt,29,0.5851648405161918,0.4725471925157886
458,ftt,0,1.0,0.9821228081583111
458,ftt,1,1.0,1.0
458,ftt,2,1.0,0.9940804879569156
458,ftt,3,1.0,0.9940804879569156
458,ftt,4,1.0,1.0
458,ftt,5,1.0,1.0
458,ftt,6,1.0,1.0
458,ftt,7,1.0,1.0
458,ftt,8,0.988085925374061,1.0
458,ftt,9,1.0,1.0
458,ftt,10,1.0,0.9940844063479187
458,ftt,11,1.0,0.9822802287881965
458,ftt,12,1.0,0.9940804879569156
458,ftt,13,1.0,1.0
458,ftt,14,1.0,1.0
458,ftt,15,1.0,0.9941685961752851
458,ftt,16,1.0,0.994186187137049
458,ftt,17,1.0,1.0
458,ftt,18,1.0,0.9881546937045815
458,ftt,19,1.0,0.9940804879569156
458,ftt,20,1.0,0.9940628969951518
458,ftt,21,1.0,0.9940804879569156
458,ftt,22,1.0,1.0
458,ftt,23,1.0,1.0
458,ftt,24,0.988085925374061,1.0
458,ftt,25,1.0,1.0
458,ftt,26,1.0,0.9940804879569156
458,ftt,27,1.0,0.9704306025924536
458,ftt,28,1.0,0.9940804879569156
458,ftt,29,1.0,0.9940992233683291
469,ftt,0,0.18873412698412698,0.18650300250515767
469,ftt,1,0.21896078431372548,0.16424967320674747
469,ftt,2,0.2280415057915058,0.23586359070001178
