,id,corruption,fold,test_score
0,1049,lgbm,0,0.8680716460229251
1,1049,lgbm,1,0.9149592579218084
2,1049,lgbm,2,0.8707076924439445
3,1049,lgbm,3,0.886227910577239
4,1049,lgbm,4,0.8956185297500784
5,1049,lgbm,5,0.9001695636473404
6,1049,lgbm,6,0.9235663765677175
7,1049,lgbm,7,0.9216692230390859
8,1049,lgbm,8,0.9119897557832353
9,1049,lgbm,9,0.8834539564606897
10,1049,lgbm,10,0.9119897557832353
11,1049,lgbm,11,0.9017281984442083
12,1049,lgbm,12,0.9089823284617913
13,1049,lgbm,13,0.8916293466807166
14,1049,lgbm,14,0.8765831527311233
15,1049,lgbm,15,0.9205281875658587
16,1049,lgbm,16,0.9025276197247093
17,1049,lgbm,17,0.8860643244204888
18,1049,lgbm,18,0.8938127165387566
19,1049,lgbm,19,0.9013975225002739
20,1049,lgbm,20,0.8956185297500784
21,1049,lgbm,21,0.8834539564606897
22,1049,lgbm,22,0.9060112552102336
23,1049,lgbm,23,0.9207549497363363
24,1049,lgbm,24,0.8984921556270522
25,1049,lgbm,25,0.8961302610917623
26,1049,lgbm,26,0.9167939570689958
27,1049,lgbm,27,0.9138640758003654
28,1049,lgbm,28,0.9080770983567005
29,1049,lgbm,29,0.9090075911520447
0,458,lgbm,0,0.988100119141912
1,458,lgbm,1,0.9939668174962292
2,458,lgbm,2,0.9822337724435627
3,458,lgbm,3,0.9821822220012266
4,458,lgbm,4,0.9881382894575169
5,458,lgbm,5,0.9939836256195953
6,458,lgbm,6,0.9941012144712846
7,458,lgbm,7,0.9762404433173663
8,458,lgbm,8,0.9940844063479187
9,458,lgbm,9,0.9881476645198857
10,458,lgbm,10,1.0
11,458,lgbm,11,0.9940648242831993
12,458,lgbm,12,0.9940844063479187
13,458,lgbm,13,0.9821540022515103
14,458,lgbm,14,0.9881457372318382
15,458,lgbm,15,0.9820551559002574
16,458,lgbm,16,0.9939668174962292
17,458,lgbm,17,0.9939836256195953
18,458,lgbm,18,0.9881656804733728
19,458,lgbm,19,0.988100119141912
20,458,lgbm,20,0.9880680319675138
21,458,lgbm,21,0.9586442466156455
22,458,lgbm,22,0.9763419729421896
23,458,lgbm,23,0.9759074515993653
24,458,lgbm,24,0.9822203031354975
25,458,lgbm,25,0.9881981259288819
26,458,lgbm,26,0.9822712503554126
27,458,lgbm,27,0.9759074515993653
28,458,lgbm,28,0.9940844063479187
29,458,lgbm,29,0.976315486608011
0,469,lgbm,0,0.2029652536688657
1,469,lgbm,1,0.2107051080098982
2,469,lgbm,2,0.2607890570021112
3,469,lgbm,3,0.22706213950096354
4,469,lgbm,4,0.14707907926078756
5,469,lgbm,5,0.15722347125664454
6,469,lgbm,6,0.20984102536105315
7,469,lgbm,7,0.21257770634245277
8,469,lgbm,8,0.2000897648193441
9,469,lgbm,9,0.16683106564186334
10,469,lgbm,10,0.20584816088983576
