dataset,fs-ratio,C-ratio,LR,GBT,DNN,DNN-AE,TabNet,FTT,NPT,Pass,Noise,Sample,CutMix,RFC,WCR,SAINT
4538,0.32,0.09,0.447,0.659,0.631,0.607,0.57,0.695,0.715,0.626,0.634,0.613,0.649,0.655,0.592,0.716
40975,0.35,0.05,0.921,0.981,0.988,0.991,0.751,1.0,0.995,0.987,0.989,0.99,0.99,0.989,0.989,0.999
40701,0.4,0.03,0.859,0.947,0.927,0.925,0.916,0.953,0.911,0.921,0.901,0.923,0.931,0.926,0.921,0.951
1497,0.44,0.17,0.7,0.997,0.925,0.92,0.96,0.968,0.957,0.918,0.914,0.93,0.944,0.948,0.914,0.972
469,0.5,0.09,0.199,0.194,0.183,0.19,0.178,0.186,0.191,0.185,0.184,0.181,0.189,0.185,0.187,0.2
1464,0.53,0.47,0.676,0.733,0.71,0.76,0.742,0.698,0.773,0.737,0.718,0.736,0.743,0.731,0.745,0.808
23,0.61,0.13,0.507,0.542,0.484,0.498,0.495,0.482,0.493,0.487,0.484,0.485,0.494,0.482,0.49,0.499
11,0.64,0.0,0.865,0.849,0.981,0.982,0.891,0.977,0.975,0.979,0.978,0.972,0.974,0.972,0.978,0.98
1475,0.83,0.24,0.455,0.593,0.56,0.557,0.523,0.561,0.579,0.556,0.559,0.563,0.563,0.566,0.544,0.59
50,0.94,0.09,0.981,0.984,0.966,0.967,0.816,0.995,0.998,0.977,0.975,0.999,0.955,0.979,0.968,0.99
1067,1.0,0.72,0.761,0.831,0.836,0.837,0.826,0.829,0.854,0.838,0.832,0.837,0.839,0.836,0.839,0.849
37,1.04,0.17,0.743,0.749,0.721,0.721,0.72,0.697,0.7,0.72,0.717,0.717,0.706,0.717,0.708,0.708
40982,1.39,0.25,0.683,0.783,0.744,0.749,0.733,0.765,0.755,0.747,0.747,0.749,0.736,0.743,0.74,0.764
1480,1.72,0.18,0.65,0.661,0.667,0.671,0.671,0.676,0.683,0.677,0.672,0.677,0.665,0.687,0.669,0.68
1068,1.89,0.63,0.84,0.923,0.92,0.921,0.909,0.918,0.925,0.919,0.915,0.914,0.921,0.919,0.919,0.932
46,1.91,0.04,0.953,0.961,0.945,0.948,0.936,0.956,,0.944,0.915,0.931,0.946,0.938,0.946,0.945
31,2.0,0.06,0.716,0.725,0.733,0.726,0.687,0.714,0.725,0.729,0.731,0.735,0.709,0.728,0.734,0.741
54,2.13,0.41,0.784,0.736,0.825,0.826,0.765,0.771,0.783,0.821,0.817,0.831,0.832,0.824,0.82,0.776
1050,2.37,0.41,0.813,0.87,0.872,0.873,0.865,0.869,0.887,0.875,0.876,0.872,0.872,0.876,0.874,0.893
1049,2.54,0.35,0.857,0.895,0.906,0.91,0.892,0.903,0.912,0.91,0.892,0.903,0.908,0.91,0.909,0.916
1487,2.84,0.35,0.882,0.927,0.934,0.935,0.927,0.931,,0.932,0.934,0.935,0.935,0.936,0.933,0.949
40994,3.7,0.01,0.902,0.917,0.942,0.941,0.911,0.934,0.925,0.944,0.942,0.931,0.922,0.925,0.941,0.949
1494,3.89,0.17,0.842,0.854,0.868,0.872,0.854,0.852,0.858,0.87,0.861,0.871,0.872,0.87,0.87,0.859
1063,4.02,0.78,0.797,0.808,0.807,0.815,0.779,0.801,0.826,0.803,0.791,0.8,0.806,0.802,0.814,0.822
1510,5.27,0.39,0.965,0.945,0.971,0.968,0.938,0.965,0.963,0.97,0.966,0.965,0.969,0.965,0.971,0.965
458,8.32,0.15,0.995,0.978,0.996,0.996,0.985,0.995,,0.995,0.996,0.996,0.997,0.997,0.995,0.993
1485,19.23,0.02,0.612,0.811,0.567,0.605,0.572,0.619,,0.558,0.442,0.602,0.812,0.607,0.577,
4134,47.35,0.09,0.767,0.791,0.765,0.769,,,,0.766,0.75,0.756,0.739,0.755,0.764,
