dataset,corruption,fold,test_score
1497,NPT,0,0.955186529276493
1497,NPT,1,0.953321235772495
1497,NPT,2,0.9606171808444217
1497,NPT,3,0.9496134850689681
1497,NPT,4,0.9615654998209148
1497,NPT,5,0.952401462531589
1497,NPT,6,0.9569714822895937
1497,NPT,7,0.9532668764483089
1497,NPT,8,0.9624552381352008
1497,NPT,9,0.9578646552379761
1497,NPT,10,0.9670511222836522
1497,NPT,11,0.963363226773536
1497,NPT,12,0.9585905629554196
1497,NPT,13,0.959663637042264
1497,NPT,14,0.9440339098655892
1497,NPT,15,0.9716377506627892
1497,NPT,16,0.954244650437869
1497,NPT,17,0.9524728511819701
1497,NPT,18,0.9560458532014109
1497,NPT,19,0.963353530617336
1497,NPT,20,0.9596924788894214
1497,NPT,21,0.964292769609675
1497,NPT,22,0.9522922368750522
1497,NPT,23,0.9515293125021979
1497,NPT,24,0.957926341234882
1497,NPT,25,0.9560992035814853
1497,NPT,26,0.9415869610256354
1497,NPT,27,0.9652536814449484
1497,NPT,28,0.9515798221663727
1497,NPT,29,0.967125896594744
4538,NPT,0,0.7072573801676846
4538,NPT,1,0.7169148866229094
4538,NPT,2,0.7281484275363858
4538,NPT,3,0.7097239275079879
4538,NPT,4,0.7147859522233008
4538,NPT,5,0.7171220441296745
4538,NPT,6,0.71240040069329
4538,NPT,7,0.7146211210858826
4538,NPT,8,0.7208951339962142
4538,NPT,9,0.716438301795695
4538,NPT,10,0.7098723393460824
4538,NPT,11,0.715774473889429
4538,NPT,12,0.7178699010724129
4538,NPT,13,0.7245188636564186
4538,NPT,14,0.7234054669630903
4538,NPT,15,0.7120633059258298
4538,NPT,16,0.6959012435519727
4538,NPT,17,0.7150452798465782
4538,NPT,18,0.7014195322828316
4538,NPT,19,0.7197959535242167
4538,NPT,20,0.7055343923671057
4538,NPT,21,0.6931511593466783
4538,NPT,22,0.7303499046131393
4538,NPT,23,0.7192862582911658
4538,NPT,24,0.7284963025443844
4538,NPT,25,0.712653422416561
4538,NPT,26,0.71479742780045
4538,NPT,27,0.7085601131627964
4538,NPT,28,0.7286007115469864
4538,NPT,29,0.7062955807180189
1050,NPT,0,0.9108656472783474
1050,NPT,1,0.889624620657074
1050,NPT,2,0.9006243439980043
1050,NPT,3,0.8680863107116803
1050,NPT,4,0.8399004041596332
1050,NPT,5,0.8908267907228556
1050,NPT,6,0.8801620548593891
1050,NPT,7,0.8908267907228556
1050,NPT,8,0.9044406871084187
1050,NPT,9,0.881776715647536
1050,NPT,10,0.9130560602792697
1050,NPT,11,0.9006317038098063
1050,NPT,12,0.8984231351989723
1050,NPT,13,0.8908267907228556
1050,NPT,14,0.8953692028365772
1050,NPT,15,0.9011624163486757
1050,NPT,16,0.8713230470690331
1050,NPT,17,0.8613038186520615
1050,NPT,18,0.8650438048488289
1050,NPT,19,0.9177456420604226
1050,NPT,20,0.885808922644104
1050,NPT,21,0.8758114225719414
1050,NPT,22,0.8739824668418015
1050,NPT,23,0.863411011830557
1050,NPT,24,0.8688194127491251
1050,NPT,25,0.8928462969996516
1050,NPT,26,0.8744533005105919
1050,NPT,27,0.8961225446925285
1050,NPT,28,0.9001722792809596
1050,NPT,29,0.9053294091554825
40994,NPT,0,0.9189082668243176
40994,NPT,1,0.9468513606444641
40994,NPT,2,0.9357745298339358
40994,NPT,3,0.9173262828302734
40994,NPT,4,0.9104813315339632
40994,NPT,5,0.9005699528007837
40994,NPT,6,0.8878306878306877
40994,NPT,7,0.9435493142810215
40994,NPT,8,0.9426465300251708
40994,NPT,9,0.9334081556303777
40994,NPT,10,0.9371844481297217
40994,NPT,11,0.9080555555555555
40994,NPT,12,0.90181466043535
40994,NPT,13,0.8978444236176195
40994,NPT,14,0.9180555555555555
40994,NPT,15,0.9325774754346182
40994,NPT,16,0.9375453885257806
40994,NPT,17,0.9192371475953565
40994,NPT,18,0.9678872649169679
40994,NPT,19,0.9511217948717948
40994,NPT,20,0.9398086304311257
40994,NPT,21,0.9658678286129266
40994,NPT,22,0.9344444444444444
40994,NPT,23,0.9328519500933292
40994,NPT,24,0.9259259259259259
40994,NPT,25,0.8945005611672279
40994,NPT,26,0.906367348726202
40994,NPT,27,0.8888888888888888
40994,NPT,28,0.9316660351143109
40994,NPT,29,0.9233914671396197
1480,NPT,0,0.7261976529217908
1480,NPT,1,0.701829303479716
1480,NPT,2,0.723932448136884
1480,NPT,3,0.6542346542346543
1480,NPT,4,0.6204721204721203
1480,NPT,5,0.6326369104146881
1480,NPT,6,0.6441421795780408
1480,NPT,7,0.6618683460788725
1480,NPT,8,0.7264957264957265
1480,NPT,9,0.6878707893413776
1480,NPT,10,0.7288702320594596
1480,NPT,11,0.7039056215926357
1480,NPT,12,0.6053053557520501
1480,NPT,13,0.7094017094017094
1480,NPT,14,0.6453741190583295
1480,NPT,15,0.6755109131684512
1480,NPT,16,0.6545491326556416
1480,NPT,17,0.6822909447909448
1480,NPT,18,0.674387183941324
1480,NPT,19,0.7730265899808286
1480,NPT,20,0.7057471264367816
1480,NPT,21,0.6916864811601654
1480,NPT,22,0.6174017336313581
1480,NPT,23,0.6543864819726888
1480,NPT,24,0.677093574045938
1480,NPT,25,0.7164533344308625
1480,NPT,26,0.733500417710944
1480,NPT,27,0.6684355159670237
1480,NPT,28,0.7533791744318061
1480,NPT,29,0.6472066734632376
11,NPT,0,0.9767532956685498
11,NPT,1,0.9604043715846995
11,NPT,2,0.984
11,NPT,3,1.0
11,NPT,4,0.9922771579565471
11,NPT,5,0.9686720142602495
11,NPT,6,0.992203798054655
11,NPT,7,0.9770081504702196
11,NPT,8,1.0
11,NPT,9,1.0
11,NPT,10,0.9915897435897436
11,NPT,11,0.9775518364796715
11,NPT,12,0.9837703507907352
11,NPT,13,0.9287235082674337
11,NPT,14,1.0
11,NPT,15,0.9680708437761069
11,NPT,16,0.9920048628523669
11,NPT,17,0.9421688790560472
11,NPT,18,0.9767598566308243
11,NPT,19,0.9850746638321586
11,NPT,20,0.9520181969823338
11,NPT,21,0.968
11,NPT,22,0.9764784053156146
11,NPT,23,0.9601202430444516
11,NPT,24,0.9765092891210538
11,NPT,25,0.9611764705882354
11,NPT,26,0.9759760265528686
11,NPT,27,0.9385701474838805
11,NPT,28,0.9534984240438784
11,NPT,29,0.976961038961039
37,NPT,0,0.7754719824338578
37,NPT,1,0.7672818494787484
37,NPT,2,0.6435216700703427
37,NPT,3,0.657975446230433
37,NPT,4,0.6903994534809157
37,NPT,5,0.6940315149527376
37,NPT,6,0.7053731608705431
37,NPT,7,0.6694473667924996
37,NPT,8,0.6566353187042843
37,NPT,9,0.6883116883116883
37,NPT,10,0.6710126626272924
37,NPT,11,0.6577959682760728
37,NPT,12,0.7011195700850874
37,NPT,13,0.6402881586127659
37,NPT,14,0.6458137557613997
37,NPT,15,0.6394612794612795
37,NPT,16,0.7512781336310749
37,NPT,17,0.7523799794283987
37,NPT,18,0.6737462537462537
37,NPT,19,0.7650199800199801
37,NPT,20,0.6728399151868539
37,NPT,21,0.7284343434343433
37,NPT,22,0.7420247909390872
37,NPT,23,0.6979709700653872
37,NPT,24,0.7821014866886427
37,NPT,25,0.6866855188796883
37,NPT,26,0.6984788911394416
37,NPT,27,0.6992545383946422
37,NPT,28,0.7395536502332619
37,NPT,29,0.7037699575770642
54,NPT,0,0.808443836745278
54,NPT,1,0.7593155508670413
54,NPT,2,0.7428017857429622
54,NPT,3,0.748843773831968
54,NPT,4,0.7628476716608737
54,NPT,5,0.7801379285495678
54,NPT,6,0.7772054715949657
54,NPT,7,0.7912377492592962
54,NPT,8,0.7834891563897872
54,NPT,9,0.7838061221899536
54,NPT,10,0.7807238850183843
54,NPT,11,0.759254378687405
54,NPT,12,0.7433706383387461
54,NPT,13,0.7945019826332568
54,NPT,14,0.7821960155587748
54,NPT,15,0.7364279523039802
54,NPT,16,0.7910581333193986
54,NPT,17,0.8039829566523411
54,NPT,18,0.743168887092187
54,NPT,19,0.8071685626869971
54,NPT,20,0.7992062285723935
54,NPT,21,0.7628356100295066
54,NPT,22,0.8260307635262241
