dataset,corruption,fold,test_score
23,NPT,0,0.5276767019675431
23,NPT,1,0.5316137140835133
23,NPT,2,0.5242010745783566
23,NPT,3,0.4433585838117274
23,NPT,4,0.5028833628156936
23,NPT,5,0.4314091516520132
23,NPT,6,0.41913755943817654
23,NPT,7,0.5501009053806967
23,NPT,8,0.5268236091127432
23,NPT,9,0.45873864801368236
23,NPT,10,0.5288810491602115
23,NPT,11,0.47046556359946573
23,NPT,12,0.5083552435677229
23,NPT,13,0.4787209066760742
23,NPT,14,0.5410149137913214
23,NPT,15,0.45366109998684123
23,NPT,16,0.461814390989552
23,NPT,17,0.488135593220339
23,NPT,18,0.5230429208805601
23,NPT,19,0.4830314371088939
23,NPT,20,0.4882092430541423
23,NPT,21,0.41534252764107293
23,NPT,22,0.5240018121783524
23,NPT,23,0.4988143095773043
23,NPT,24,0.5036685227178963
23,NPT,25,0.46494823026431276
23,NPT,26,0.48170955586385583
23,NPT,27,0.5083103446123467
23,NPT,28,0.5808901073045174
23,NPT,29,0.480254383326868
469,NPT,0,0.16782307852386238
469,NPT,1,0.2064306223168761
469,NPT,2,0.192968853031353
469,NPT,3,0.1737999283473939
469,NPT,4,0.2276468323343323
469,NPT,5,0.1531031912756826
469,NPT,6,0.17015563016320798
469,NPT,7,0.20555100452540026
469,NPT,8,0.19648705189146365
469,NPT,9,0.19660448624376228
469,NPT,10,0.2523078040764587
469,NPT,11,0.17898107443322897
469,NPT,12,0.19856005981983543
469,NPT,13,0.16637279084221204
469,NPT,14,0.2383361466120087
469,NPT,15,0.18341858769309038
469,NPT,16,0.1963588575464544
469,NPT,17,0.18097689452513063
469,NPT,18,0.23147109069183175
469,NPT,19,0.1740785683669978
469,NPT,20,0.23062504402273037
469,NPT,21,0.14710665633228723
469,NPT,22,0.17109807585825026
469,NPT,23,0.2025944348320789
469,NPT,24,0.1681472642389966
469,NPT,25,0.18738570755707853
469,NPT,26,0.18378320560341949
469,NPT,27,0.17704607824093116
469,NPT,28,0.24194566864284983
469,NPT,29,0.14369743507705435
1049,NPT,0,0.9171641988778981
1049,NPT,1,0.9135056161702811
1049,NPT,2,0.9177801098139161
1049,NPT,3,0.882810767248575
1049,NPT,4,0.9190589342350667
1049,NPT,5,0.9075949445091477
1049,NPT,6,0.9033264646165337
1049,NPT,7,0.9047663726778007
1049,NPT,8,0.9383561643835616
1049,NPT,9,0.8758767631450952
1049,NPT,10,0.8955360561199174
1049,NPT,11,0.905377357432152
1049,NPT,12,0.9102485054821329
1049,NPT,13,0.9206833330620567
1049,NPT,14,0.917788462401957
1049,NPT,15,0.9104355921520555
1049,NPT,16,0.9069913947939843
1049,NPT,17,0.921732305936073
1049,NPT,18,0.916352778766811
1049,NPT,19,0.910958904109589
1049,NPT,20,0.8896386752016897
1049,NPT,21,0.9250796822642325
1049,NPT,22,0.9362934193739022
1049,NPT,23,0.914827827817663
1049,NPT,24,0.920234236118373
1049,NPT,25,0.9293062355798882
1049,NPT,26,0.9209564679646945
1049,NPT,27,0.9001018684824276
1049,NPT,28,0.9035734391335818
1049,NPT,29,0.9124514909283891
1063,NPT,0,0.8089399744572159
1063,NPT,1,0.796010094940512
1063,NPT,2,0.7470950989938333
1063,NPT,3,0.8205714285714287
1063,NPT,4,0.8033630588098152
1063,NPT,5,0.8137201240649518
1063,NPT,6,0.8529014844804319
1063,NPT,7,0.8803370786516854
1063,NPT,8,0.8323481116584566
1063,NPT,9,0.8168067226890756
1063,NPT,10,0.8158869243206591
1063,NPT,11,0.8280390417036381
1063,NPT,12,0.8318487394957983
1063,NPT,13,0.8531490015360983
1063,NPT,14,0.8172568172568173
1063,NPT,15,0.8437132156233279
1063,NPT,16,0.8143606474758124
1063,NPT,17,0.8127772848269743
1063,NPT,18,0.7715247715247715
1063,NPT,19,0.8653061224489795
1063,NPT,20,0.8173762447683648
1063,NPT,21,0.8376598639455783
1063,NPT,22,0.8214607522590942
1063,NPT,23,0.8320860290260536
1063,NPT,24,0.8446599000151492
1063,NPT,25,0.8284375804375804
1063,NPT,26,0.8252517006802722
1063,NPT,27,0.8024929971988796
1063,NPT,28,0.9063240110859159
1063,NPT,29,0.8320860290260536
1067,NPT,0,0.8740304474084503
1067,NPT,1,0.8842321793918405
1067,NPT,2,0.8494809724132355
1067,NPT,3,0.8641344645779871
1067,NPT,4,0.8513717786751765
1067,NPT,5,0.831543935410124
1067,NPT,6,0.8716407128244479
1067,NPT,7,0.8442018073887704
1067,NPT,8,0.8374179173575796
1067,NPT,9,0.8347520453281793
1067,NPT,10,0.8540174768637289
1067,NPT,11,0.8217248688699481
1067,NPT,12,0.8714121426340897
1067,NPT,13,0.8675580764787816
1067,NPT,14,0.8475800269309831
1067,NPT,15,0.848135603569498
1067,NPT,16,0.8798504433116277
1067,NPT,17,0.8319598840484986
1067,NPT,18,0.8674969754819806
1067,NPT,19,0.8561993505480248
1067,NPT,20,0.8281209743829807
1067,NPT,21,0.8583673902334474
1067,NPT,22,0.8510816365541927
1067,NPT,23,0.8511502665364867
1067,NPT,24,0.867405152981488
1067,NPT,25,0.8498062208191163
1067,NPT,26,0.8530639199973362
1067,NPT,27,0.8305460685846837
1067,NPT,28,0.8544804163384426
1067,NPT,29,0.8881179394667559
1068,NPT,0,0.9414862046440994
1068,NPT,1,0.9212559039622146
1068,NPT,2,0.9260788234535251
1068,NPT,3,0.9218434481592376
1068,NPT,4,0.9129108504108504
1068,NPT,5,0.9453588670773426
1068,NPT,6,0.9335159837860295
1068,NPT,7,0.9220920962508
1068,NPT,8,0.9194446244805955
1068,NPT,9,0.9303286803286803
1068,NPT,10,0.9151032100061227
1068,NPT,11,0.918918918918919
1068,NPT,12,0.9369369369369369
