dataset,corruption,fold,val_score,test_score
1510,tabnet,0,0.99019605,0.9476097712345062
1510,tabnet,1,0.95098037,0.9557756825927252
1510,tabnet,2,0.98039216,0.9198789174107642
1510,tabnet,3,0.95098037,0.9306381896770913
1510,tabnet,4,0.98039216,0.9118117713260766
1510,tabnet,5,0.99019605,0.9032602278442263
1510,tabnet,6,0.98039216,0.9380859556298152
1510,tabnet,7,0.9607843,0.9106612685560054
1510,tabnet,8,0.9607843,0.9560273762928301
1510,tabnet,9,0.99019605,0.9112731152204836
1510,tabnet,10,0.99019605,0.9470870627956459
1510,tabnet,11,0.98039216,0.9376836024305945
1510,tabnet,12,0.98039216,0.9212409881140532
1510,tabnet,13,0.99019605,0.9387429907553746
1510,tabnet,14,1.0,0.9473684210526315
1510,tabnet,15,0.9705882,0.9647247085304307
1510,tabnet,16,0.9705882,0.9384383268099622
1510,tabnet,17,0.99019605,0.9473684210526315
1510,tabnet,18,0.9705882,0.913021189336979
1510,tabnet,19,0.9607843,0.9470870627956459
1510,tabnet,20,0.99019605,0.956244993396696
1510,tabnet,21,1.0,0.9649122807017544
1510,tabnet,22,0.9705882,0.956244993396696
1510,tabnet,23,0.9607843,0.9736164257756981
1510,tabnet,24,0.9705882,0.956244993396696
1510,tabnet,25,0.95098037,0.9387429907553746
1510,tabnet,26,0.98039216,0.9304169514695829
1510,tabnet,27,0.9705882,0.913021189336979
1510,tabnet,28,0.98039216,0.9218503375891836
1510,tabnet,29,0.9705882,0.9470870627956459
1063,tabnet,0,0.8817204,0.7406369984283925
1063,tabnet,1,0.9032258,0.7966196355085244
1063,tabnet,2,0.9032258,0.7824649859943977
1063,tabnet,3,0.8494624,0.8285714285714286
1063,tabnet,4,0.8817204,0.7703553471077872
1063,tabnet,5,0.87096775,0.7553072318550743
1063,tabnet,6,0.8817204,0.7859274867759399
1063,tabnet,7,0.87096775,0.7714285714285715
1063,tabnet,8,0.8924731,0.7300824833261851
1063,tabnet,9,0.8494624,0.7748826533066683
1063,tabnet,10,0.9032258,0.7429131652661065
1063,tabnet,11,0.8817204,0.8336089176614505
1063,tabnet,12,0.9247312,0.8061224489795918
1063,tabnet,13,0.8817204,0.726041366041366
1063,tabnet,14,0.86021507,0.7646632594609474
1063,tabnet,15,0.9247312,0.8134646962233169
1063,tabnet,16,0.87096775,0.8055913882503477
1063,tabnet,17,0.87096775,0.8022408963585436
1063,tabnet,18,0.8817204,0.7562541029136999
1063,tabnet,19,0.8494624,0.8140334962098567
1063,tabnet,20,0.9139785,0.7790611468093713
1063,tabnet,21,0.9032258,0.7730035410390572
1063,tabnet,22,0.8924731,0.7584217687074829
1063,tabnet,23,0.8817204,0.7336122026450332
1063,tabnet,24,0.8924731,0.7775893221425655
1063,tabnet,25,0.9139785,0.7982732209998609
1063,tabnet,26,0.87096775,0.8336089176614505
1063,tabnet,27,0.83870965,0.8022408963585436
1063,tabnet,28,0.827957,0.7553072318550743
1063,tabnet,29,0.86021507,0.762689075630252
23,tabnet,0,0.5810811,0.46185586531867506
23,tabnet,1,0.5945946,0.46566505084874465
23,tabnet,2,0.6418919,0.5022515133704677
