dataset,corruption,npairs,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
1485,pass,loss=cluster-simclr-case2,9999,0,0.570784812385669,0,0,0,0,0.0019733399323054
1485,pass,loss=cluster-simclr-case2,9999,1,0.5882422591912855,0,0,0,0,0.0020432439191
1485,pass,loss=cluster-simclr-case2,9999,2,0.5955555555555555,0,0,0,0,0.0020407289436885
1485,pass,loss=cluster-simclr-case2,9999,3,0.5505251169502781,0,0,0,0,0.0020380495786666
1485,pass,loss=cluster-simclr-case2,9999,4,0.5870871985157698,0,0,0,0,0.0020377608197075
1485,pass,loss=cluster-simclr-case2,9999,5,0.6,0,0,0,0,0.0020497263329369
1485,pass,loss=cluster-simclr-case2,9999,6,0.5828342643069564,0,0,0,0,0.0015254946265901
1485,pass,loss=cluster-simclr-case2,9999,7,0.6015915610252613,0,0,0,0,0.0014492206743785
1485,pass,loss=cluster-simclr-case2,9999,8,0.6038461538461538,0,0,0,0,0.0014380248785018
1485,pass,loss=cluster-simclr-case2,9999,9,0.547583991433543,0,0,0,0,0.0014507443564278
1485,pass,loss=cluster-simclr-case2,9999,10,0.5979564884451332,0,0,0,0,0.0015850043978009
1485,pass,loss=cluster-simclr-case2,9999,11,0.5917037037037038,0,0,0,0,0.0020666479042598
1485,pass,loss=cluster-simclr-case2,9999,12,0.5557675878978842,0,0,0,0,0.0020407477276665
1485,pass,loss=cluster-simclr-case2,9999,13,0.5595355667262188,0,0,0,0,0.0020457337072917
1485,pass,loss=cluster-simclr-case2,9999,14,0.5887282732602828,0,0,0,0,0.0020288445268358
1485,pass,loss=cluster-simclr-case2,9999,15,0.5980754366695143,0,0,0,0,0.0020504068647112
1485,pass,loss=cluster-simclr-case2,9999,16,0.5595746648173833,0,0,0,0,0.0019197197982243
1485,pass,loss=cluster-simclr-case2,9999,17,0.5595355667262188,0,0,0,0,0.0014507009472165
1485,pass,loss=cluster-simclr-case2,9999,18,0.5994074074074074,0,0,0,0,0.001420755641801
1485,pass,loss=cluster-simclr-case2,9999,19,0.5633824176718414,0,0,0,0,0.0014305092436926
1485,pass,loss=cluster-simclr-case2,9999,20,0.5477005644489684,0,0,0,0,0.0014536015135901
1485,pass,loss=cluster-simclr-case2,9999,21,0.5997868687466699,0,0,0,0,0.001429796218872
1485,pass,loss=cluster-simclr-case2,9999,22,0.6208333333333333,0,0,0,0,0.0013604556832994
1485,pass,loss=cluster-simclr-case2,9999,23,0.5974203490159616,0,0,0,0,0.0013645210266113
1485,pass,loss=cluster-simclr-case2,9999,24,0.5818743029076855,0,0,0,0,0.0013649450710841
1485,pass,loss=cluster-simclr-case2,9999,25,0.5859857279874389,0,0,0,0,0.0013603006260735
1485,pass,loss=cluster-simclr-case2,9999,26,0.59375,0,0,0,0,0.001359520809991
1485,pass,loss=cluster-simclr-case2,9999,27,0.5557932581598847,0,0,0,0,0.0013625853402273
1485,pass,loss=cluster-simclr-case2,9999,28,0.6038402934954659,0,0,0,0,0.001363871046475
1485,pass,loss=cluster-simclr-case2,9999,29,0.5651530400805163,0,0,0,0,0.0013670190743037
1049,pass,loss=cluster-simclr-case2,9999,0,0.912771702990106,0,0,0,0,0.0019982303891863
1049,pass,loss=cluster-simclr-case2,9999,1,0.9178082191780822,0,0,0,0,0.0021630740506308
1049,pass,loss=cluster-simclr-case2,9999,2,0.888835017491285,0,0,0,0,0.0021144981724875
1049,pass,loss=cluster-simclr-case2,9999,3,0.9178082191780822,0,0,0,0,0.0021450045789991
1049,pass,loss=cluster-simclr-case2,9999,4,0.9293086094141076,0,0,0,0,0.0021456499780927
1049,pass,loss=cluster-simclr-case2,9999,5,0.917985987660776,0,0,0,0,0.0021354298251015
1049,pass,loss=cluster-simclr-case2,9999,6,0.9034197274450172,0,0,0,0,0.0022104470729827
1049,pass,loss=cluster-simclr-case2,9999,7,0.9287902027628056,0,0,0,0,0.0021619822638375
1049,pass,loss=cluster-simclr-case2,9999,8,0.9069732018643948,0,0,0,0,0.0022009669031415
1049,pass,loss=cluster-simclr-case2,9999,9,0.8944588907058413,0,0,0,0,0.0021784600870949
1049,pass,loss=cluster-simclr-case2,9999,10,0.884906824632852,0,0,0,0,0.002166781425476
1049,pass,loss=cluster-simclr-case2,9999,11,0.9167939570689958,0,0,0,0,0.0021362095900944
1049,pass,loss=cluster-simclr-case2,9999,12,0.921669223039086,0,0,0,0,0.0021551721777234
1049,pass,loss=cluster-simclr-case2,9999,13,0.9119875717780632,0,0,0,0,0.0021307897908346
1049,pass,loss=cluster-simclr-case2,9999,14,0.9119671273510394,0,0,0,0,0.0021829698426382
1049,pass,loss=cluster-simclr-case2,9999,15,0.9207549497363364,0,0,0,0,0.0021499122892107
1049,pass,loss=cluster-simclr-case2,9999,16,0.8860643244204888,0,0,0,0,0.0022114989076341
1049,pass,loss=cluster-simclr-case2,9999,17,0.8946367333170923,0,0,0,0,0.0021787799426487
1049,pass,loss=cluster-simclr-case2,9999,18,0.897294981909546,0,0,0,0,0.0021767839704241
1049,pass,loss=cluster-simclr-case2,9999,19,0.9029262832471616,0,0,0,0,0.0021679477351052
1049,pass,loss=cluster-simclr-case2,9999,20,0.8984921556270522,0,0,0,0,0.0021802057538713
1049,pass,loss=cluster-simclr-case2,9999,21,0.915709386653674,0,0,0,0,0.0021958434922354
1049,pass,loss=cluster-simclr-case2,9999,22,0.9029262832471616,0,0,0,0,0.0021362736225128
1049,pass,loss=cluster-simclr-case2,9999,23,0.8876125155382317,0,0,0,0,0.0022043614387512
1049,pass,loss=cluster-simclr-case2,9999,24,0.888835017491285,0,0,0,0,0.0021715823241642
1049,pass,loss=cluster-simclr-case2,9999,25,0.9422023182297156,0,0,0,0,0.0021400558607918
1049,pass,loss=cluster-simclr-case2,9999,26,0.9129515353479156,0,0,0,0,0.0021100195816584
1049,pass,loss=cluster-simclr-case2,9999,27,0.9080770983567004,0,0,0,0,0.0021638376712799
1049,pass,loss=cluster-simclr-case2,9999,28,0.8944588907058413,0,0,0,0,0.0021623762335096
1049,pass,loss=cluster-simclr-case2,9999,29,0.9086851688748132,0,0,0,0,0.0021896380356379
1067,pass,loss=cluster-simclr-case2,9999,0,0.828589556991914,0,0,0,0,0.0057329973090778
1067,pass,loss=cluster-simclr-case2,9999,1,0.8488735304034684,0,0,0,0,0.0057406824285333
1067,pass,loss=cluster-simclr-case2,9999,2,0.8297016943493476,0,0,0,0,0.0057968249971216
1067,pass,loss=cluster-simclr-case2,9999,3,0.8296036248036396,0,0,0,0,0.0057849616570906
1067,pass,loss=cluster-simclr-case2,9999,4,0.8403123592890234,0,0,0,0,0.0057674925544045
1067,pass,loss=cluster-simclr-case2,9999,5,0.8195346313254281,0,0,0,0,0.0057752027294852
1067,pass,loss=cluster-simclr-case2,9999,6,0.8171773895344244,0,0,0,0,0.0057829497077248
1067,pass,loss=cluster-simclr-case2,9999,7,0.8277827843386795,0,0,0,0,0.0058771400668404
1067,pass,loss=cluster-simclr-case2,9999,8,0.847344793025214,0,0,0,0,0.0058031272888183
1067,pass,loss=cluster-simclr-case2,9999,9,0.8415550354585852,0,0,0,0,0.0058708852204409
1067,pass,loss=cluster-simclr-case2,9999,10,0.8035268384708879,0,0,0,0,0.0056357425993139
1067,pass,loss=cluster-simclr-case2,9999,11,0.8403123592890234,0,0,0,0,0.0058769431547685
1067,pass,loss=cluster-simclr-case2,9999,12,0.8498659499753489,0,0,0,0,0.0057017014676874
1067,pass,loss=cluster-simclr-case2,9999,13,0.8338313149684949,0,0,0,0,0.0058460785475644
1067,pass,loss=cluster-simclr-case2,9999,14,0.8363158220638451,0,0,0,0,0.0056902031681754
1067,pass,loss=cluster-simclr-case2,9999,15,0.839340560529146,0,0,0,0,0.0058387409773739
1067,pass,loss=cluster-simclr-case2,9999,16,0.812843100263248,0,0,0,0,0.0057325741160999
1067,pass,loss=cluster-simclr-case2,9999,17,0.8308012281506396,0,0,0,0,0.0058991473371332
1067,pass,loss=cluster-simclr-case2,9999,18,0.8343405419996789,0,0,0,0,0.0056245939298109
1067,pass,loss=cluster-simclr-case2,9999,19,0.8326339735122379,0,0,0,0,0.0058094024441458
1067,pass,loss=cluster-simclr-case2,9999,20,0.8609172161549558,0,0,0,0,0.0057353845726359
1067,pass,loss=cluster-simclr-case2,9999,21,0.8344720926663926,0,0,0,0,0.0057269315719604
1067,pass,loss=cluster-simclr-case2,9999,22,0.8326339735122379,0,0,0,0,0.0057452539313923
1067,pass,loss=cluster-simclr-case2,9999,23,0.8341056878350483,0,0,0,0,0.0057293387109583
1067,pass,loss=cluster-simclr-case2,9999,24,0.8454635735055063,0,0,0,0,0.0058601695624264
1067,pass,loss=cluster-simclr-case2,9999,25,0.8356354787749071,0,0,0,0,0.0057697860110889
